ma: 0002; IF; io: 0F; ki: 000F; ir: 00; ip: 0003 xp: FFCE; yp: 0000; ys: 0000 ra: 00; rb: 45; cy: 0
ma: 0003; IF; io: 3C; ki: 00FC; ir: 03; ip: 0004 xp: FFCE; yp: 0000; ys: 0000 ra: 00; rb: 45; cy: 0
ma: 0004; IF; io: 21; ki: 0001; ir: 11; ip: 0005 xp: FFCE; yp: 0000; ys: 0000 ra: FC; rb: 45; cy: 0
ma: 0005; IF; io: 0F; ki: 000F; ir: 00; ip: 0006 xp: FFCE; yp: 0000; ys: 0000 ra: 45; rb: FC; cy: 0
ma: 0006; IF; io: 3F; ki: 00FF; ir: 03; ip: 0007 xp: FFCE; yp: 0000; ys: 0000 ra: 45; rb: FC; cy: 0
ma: 0007; IF; io: 22; ki: 0002; ir: 12; ip: 0008 xp: FFCE; yp: 0000; ys: 0000 ra: FF; rb: FC; cy: 0
ma: 0008; IF; io: 30; ki: 0000; ir: 03; ip: 0009 xp: FFFC; yp: 0000; ys: 0000 ra: FF; rb: CE; cy: 0
ma: 0009; IF; io: 63; ki: 0003; ir: 06; ip: 0009 xp: FFFC; yp: 0000; ys: 0000 ra: 00; rb: CE; cy: 0
ma: FFFF; WR; io: 00; ki: 0003; ir: 06; ip: 000A xp: FFFC; yp: 0000; ys: 0000 ra: 00; rb: CE; cy: 0
ma: 000A; IF; io: 62; ki: 0002; ir: 06; ip: 000A xp: FFFC; yp: 0000; ys: 0000 ra: 00; rb: CE; cy: 0
ma: FFFE; WR; io: 00; ki: 0002; ir: 06; ip: 000B xp: FFFC; yp: 0000; ys: 0000 ra: 00; rb: CE; cy: 0
ma: 000B; IF; io: 61; ki: 0001; ir: 06; ip: 000B xp: FFFC; yp: 0000; ys: 0000 ra: 00; rb: CE; cy: 0
ma: FFFD; WR; io: 00; ki: 0001; ir: 06; ip: 000C xp: FFFC; yp: 0000; ys: 0000 ra: 00; rb: CE; cy: 0
ma: 000C; IF; io: 31; ki: 0001; ir: 03; ip: 000D xp: FFFC; yp: 0000; ys: 0000 ra: 00; rb: CE; cy: 0
ma: 000D; IF; io: 60; ki: 0000; ir: 06; ip: 000D xp: FFFC; yp: 0000; ys: 0000 ra: 01; rb: CE; cy: 0
ma: FFFC; WR; io: 01; ki: 0000; ir: 06; ip: 000E xp: FFFC; yp: 0000; ys: 0000 ra: 01; rb: CE; cy: 0
ma: 000E; IF; io: 01; ki: 0001; ir: 00; ip: 000F xp: FFFC; yp: 0000; ys: 0000 ra: 01; rb: CE; cy: 0
ma: 000F; IF; io: 37; ki: 0017; ir: 03; ip: 0010 xp: FFFC; yp: 0000; ys: 0000 ra: 01; rb: CE; cy: 0
ma: 0010; IF; io: 10; ki: 0000; ir: 01; ip: 0011 xp: FFFC; yp: 0000; ys: 0000 ra: 17; rb: CE; cy: 0
ma: 0011; IF; io: 6F; ki: FFFF; ir: 06; ip: 0011 xp: FFFC; yp: 0000; ys: 0000 ra: 17; rb: CE; cy: 0
